vdna_cityscapes = vdna_proc.make_vdna(source=cityscapes, device=device, num_workers=0)
0027eed2-815a0000.jpg tensor(17.6440, device='cuda:0', dtype=torch.float64)
0027eed2-a6630000.jpg tensor(17.7518, device='cuda:0', dtype=torch.float64)
0024b742-acbefa1a.jpg tensor(17.9087, device='cuda:0', dtype=torch.float64)
0027eed2-815a0001.jpg tensor(18.0501, device='cuda:0', dtype=torch.float64)
00067cfb-e535423e.jpg tensor(18.1319, device='cuda:0', dtype=torch.float64)
003ddde7-36ee8299.jpg tensor(18.3213, device='cuda:0', dtype=torch.float64)
0027eed2-09c90000.jpg tensor(18.8954, device='cuda:0', dtype=torch.float64)
003571f2-f2848ebd.jpg tensor(18.9182, device='cuda:0', dtype=torch.float64)
00091078-59817bb0.jpg tensor(18.9863, device='cuda:0', dtype=torch.float64)
0010bf16-a457685b.jpg tensor(19.0415, device='cuda:0', dtype=torch.float64)
00054602-3bf57337.jpg tensor(19.3067, device='cuda:0', dtype=torch.float64)
0027eed2-60fb0001.jpg tensor(19.4229, device='cuda:0', dtype=torch.float64)
0027eed2-a6630001.jpg tensor(19.4429, device='cuda:0', dtype=torch.float64)
0027eed2-09c90001.jpg tensor(19.6469, device='cuda:0', dtype=torch.float64)
002bf392-acddbad2.jpg tensor(19.9976, device='cuda:0', dtype=torch.float64)
0004a4c0-d4dff0ad.jpg tensor(20.2785, device='cuda:0', dtype=torch.float64)
001b428f-059bac33.jpg tensor(20.5393, device='cuda:0', dtype=torch.float64)
002a3213-ab7f6730.jpg tensor(20.8393, device='cuda:0', dtype=torch.float64)
002d467e-00000000.jpg tensor(21.1872, device='cuda:0', dtype=torch.float64)
001c2a14-c7138401.jpg tensor(22.7457, device='cuda:0', dtype=torch.float64)
